"","cutoff_index","FN_ALL"
"821",111761.14,623
"822",111687.02,624
"823",111639.055,625
"824",111565.625,626
"825",111446.04,627
"826",111354.09,628
"827",111274.31,629
"828",111175.66,629
"829",111098.305,630
"830",111064.36,631
"831",111032.766,631
"832",111017.78,631
"833",110944.31,632
"834",110933.72,633
"835",110878.586,634
"836",110855.734,635
"837",110776.125,636
"838",110690.125,637
"839",110676.91,638
"840",110656.58,639
"841",110621.83,640
"842",110545.21,641
"843",110530.96,642
"844",110452.26,643
"845",110452.1,644
"846",110444.92,645
"847",110322.97,646
"848",110295.86,647
"849",109982.65,647
"850",109962.72,648
"851",109908.81,649
"852",109851.805,649
"853",109778.8,650
"854",109747.14,651
"855",109604.2,652
"856",109579.9,653
"857",109549.375,654
"858",109513.15,654
"859",109495.12,655
"860",109263.7,656
"861",109257.48,656
"862",109189.78,657
"863",109166.86,657
"864",109097.72,658
"865",109083.56,658
"866",109060.92,659
"867",108911.67,659
"868",108823.87,659
"869",108730.79,660
"870",108394.95,661
"871",108330.3,662
"872",108273.55,663
"873",108125.414,664
"874",108115.47,665
"875",108101.17,666
"876",108035.28,667
"877",107940.65,667
"878",107892.9,668
"879",107766.984,668
"880",107728.375,668
"881",107676.3,668
"882",107655.26,669
"883",107655.18,670
"884",107638.28,671
"885",107536.81,672
"886",107478.41,673
"887",107422.086,674
"888",107404.36,675
"889",107339.84,676
"890",107323.92,677
"891",107168.85,678
"892",107111.734,679
"893",107059.45,680
"894",107040.52,681
"895",106934.37,682
"896",106915.41,682
"897",106871.88,683
"898",106827.81,684
"899",106749.74,685
"900",106668.74,686
"901",106627.31,687
"902",106443.77,687
"903",106441.82,688
"904",106354.98,689
"905",106251.23,690
"906",106181.016,691
"907",106174.695,691
"908",106132.12,692
"909",106034.58,692
"910",105970.17,693
"911",105963.5,694
"912",105888.37,695
"913",105805.516,695
"914",105564.5,696
"915",105558.266,696
"916",105452.71,696
"917",105414.83,696
"918",105347.664,697
"919",105342.266,698
"920",105328.21,698
"921",105230.36,699
