"","cutoff_index","FN_ALL"
"457",504547600000,311
"458",502609250000,311
"459",500195260000,312
"460",496860100000,313
"461",488017130000,314
"462",486032280000,315
"463",481556800000,316
"464",480733500000,317
"465",477042770000,318
"466",470533440000,319
"467",466801100000,320
"468",460889550000,321
"469",455800880000,322
"470",446234260000,323
"471",445214800000,323
"472",425921280000,324
"473",423585300000,324
"474",421736640000,324
"475",411104870000,324
"476",409154360000,325
"477",405989620000,326
"478",403691040000,327
"479",403058980000,328
"480",390633980000,329
"481",388894430000,330
"482",387820130000,331
"483",382700100000,331
"484",3.76728e+11,332
"485",376278800000,333
"486",372146470000,334
"487",366049920000,335
"488",363400800000,336
"489",358262670000,337
"490",357066870000,338
"491",348746780000,338
"492",347426980000,339
"493",344881560000,340
"494",344598740000,340
"495",336816100000,341
"496",3.35873e+11,342
"497",330314650000,343
"498",327405100000,344
"499",326337760000,345
"500",325101420000,346
"501",323108040000,347
"502",322649200000,347
"503",319859430000,348
"504",313566860000,349
"505",313025360000,349
"506",309423640000,349
"507",308742600000,350
"508",304959520000,351
"509",304903230000,352
"510",304419080000,353
"511",304386300000,354
"512",296277250000,355
"513",296265350000,356
"514",292909700000,357
"515",292873500000,357
"516",284779680000,358
"517",281232830000,359
"518",278620370000,360
"519",278457500000,360
"520",275476740000,360
"521",275389740000,361
"522",269495120000,362
"523",267827860000,363
"524",266397220000,364
"525",264673790000,365
"526",262656210000,365
"527",261878480000,366
"528",256830210000,367
"529",255856430000,367
"530",255302240000,368
"531",248269770000,369
"532",248071060000,370
"533",247356460000,371
"534",245114140000,372
"535",240479320000,373
"536",236280400000,374
"537",234469440000,375
"538",228259900000,376
"539",227635280000,377
"540",226976400000,378
"541",226162540000,379
"542",224908150000,379
"543",219044680000,380
"544",218900820000,380
"545",217118340000,381
"546",216570020000,382
"547",216516250000,382
"548",214110390000,383
"549",213529250000,383
"550",212861940000,384
"551",211302800000,385
"552",211012010000,386
"553",210629510000,386
"554",208405950000,387
"555",207412500000,388
"556",206404440000,389
"557",203581750000,390
"558",198021150000,390
"559",196646550000,391
"560",195286430000,392
"561",194290940000,393
"562",1.94064e+11,393
"563",193866800000,394
"564",193340460000,395
"565",190842290000,396
"566",190699200000,397
"567",188596810000,398
"568",187503890000,399
